Instrument,Date,Settlement Price,Open Price,Close Price,Open Interest,RIC,Strike,Expiry,Expiry_Date
CL500F24^F24,2023-06-01T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-02T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-05T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-06T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-07T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-08T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-09T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-12T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-13T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-14T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-15T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-16T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-19T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-20T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-21T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-22T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-23T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-26T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-27T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-28T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-29T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-06-30T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-03T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-04T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-05T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-06T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-07T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-10T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-11T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-12T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-13T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-14T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-17T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-18T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-19T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-20T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-21T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-24T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-25T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-26T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-27T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-28T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-07-31T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-01T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-02T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-03T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-04T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-07T00:00:00Z,,,,,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-08T00:00:00Z,28.93,,,1,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-09T00:00:00Z,29.71,,,11,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-10T00:00:00Z,28.91,,,12,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-11T00:00:00Z,28.92,,,15,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-14T00:00:00Z,28.46,,,89,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-15T00:00:00Z,27.53,,,95,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-16T00:00:00Z,26.87,,,97,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-17T00:00:00Z,27.32,,,199,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-18T00:00:00Z,27.86,,,199,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-21T00:00:00Z,27.71,,,199,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-22T00:00:00Z,27.45,,,199,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-23T00:00:00Z,26.83,,,199,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-24T00:00:00Z,26.61,25.78,26.57,238,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-25T00:00:00Z,27.31,27.31,27.22,326,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-28T00:00:00Z,27.27,27.23,27.23,606,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-29T00:00:00Z,27.96,27.52,27.86,910,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-30T00:00:00Z,28.12,28.12,28.08,966,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-08-31T00:00:00Z,29.21,28.69,28.99,1004,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-01T00:00:00Z,30.38,29.09,29.87,1065,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-01T00:00:00Z,30.38,29.09,29.87,1065,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-05T00:00:00Z,31.31,31.81,31.8,1106,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-06T00:00:00Z,31.69,31.45,31.65,1113,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-07T00:00:00Z,31.36,31.58,31.0,1136,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-08T00:00:00Z,31.82,31.58,31.0,1241,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-11T00:00:00Z,31.89,31.83,31.83,1241,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-12T00:00:00Z,32.77,32.55,32.84,1266,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-13T00:00:00Z,32.56,32.91,32.73,1268,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-14T00:00:00Z,33.77,33.48,33.71,1271,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-15T00:00:00Z,33.48,33.8,33.59,1264,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-18T00:00:00Z,33.31,33.8,33.59,1276,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-19T00:00:00Z,33.12,33.8,33.59,1276,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-20T00:00:00Z,32.5,33.8,33.59,1276,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-21T00:00:00Z,32.5,33.8,33.59,1276,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-22T00:00:00Z,31.76,33.8,33.59,1276,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-25T00:00:00Z,31.72,33.8,33.59,1276,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-26T00:00:00Z,32.0,33.8,33.59,1276,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-27T00:00:00Z,32.96,33.8,33.59,1276,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-28T00:00:00Z,31.89,33.8,33.59,1276,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-09-29T00:00:00Z,31.33,31.62,31.37,1201,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-02T00:00:00Z,30.9,31.62,31.37,1201,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-03T00:00:00Z,30.94,31.62,31.37,1201,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-04T00:00:00Z,27.08,31.62,31.37,1201,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-05T00:00:00Z,26.05,31.62,31.37,1247,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-06T00:00:00Z,26.3,31.62,31.37,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-09T00:00:00Z,28.7,31.62,31.37,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-10T00:00:00Z,28.84,31.62,31.37,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-11T00:00:00Z,28.19,31.62,31.37,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-12T00:00:00Z,28.08,31.62,31.37,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-13T00:00:00Z,31.32,31.62,31.37,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-16T00:00:00Z,30.55,31.62,31.37,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-17T00:00:00Z,30.89,31.62,31.37,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-18T00:00:00Z,32.19,31.62,31.37,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-19T00:00:00Z,32.58,32.62,32.62,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-20T00:00:00Z,32.29,32.62,32.62,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-23T00:00:00Z,30.87,32.62,32.62,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-24T00:00:00Z,30.0,32.62,32.62,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-25T00:00:00Z,31.58,32.62,32.62,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-26T00:00:00Z,30.03,32.62,32.62,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-27T00:00:00Z,31.47,32.62,32.62,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-30T00:00:00Z,29.18,32.62,32.62,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-10-31T00:00:00Z,28.55,32.62,32.62,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-01T00:00:00Z,28.29,32.62,32.62,1270,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-02T00:00:00Z,30.1,32.62,32.62,1303,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-03T00:00:00Z,28.64,32.62,32.62,1303,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-06T00:00:00Z,29.2,32.62,32.62,1303,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-07T00:00:00Z,26.29,32.62,32.62,1375,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-08T00:00:00Z,24.81,32.62,32.62,1375,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-09T00:00:00Z,25.22,24.99,24.99,1840,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-10T00:00:00Z,26.33,24.99,24.99,1840,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-13T00:00:00Z,27.29,24.99,24.99,1867,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-14T00:00:00Z,27.22,24.99,24.99,1867,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-15T00:00:00Z,26.57,24.99,24.99,1867,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-16T00:00:00Z,23.71,24.99,24.99,1877,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-17T00:00:00Z,26.05,24.99,24.99,1877,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-20T00:00:00Z,27.55,24.99,24.99,1877,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-21T00:00:00Z,27.62,24.99,24.99,1877,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-22T00:00:00Z,27.06,24.99,24.99,1900,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-22T00:00:00Z,27.06,24.99,24.99,1900,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-24T00:00:00Z,25.89,24.99,24.99,1900,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-27T00:00:00Z,25.4,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-28T00:00:00Z,26.6,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-29T00:00:00Z,27.79,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-11-30T00:00:00Z,25.84,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-01T00:00:00Z,24.45,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-04T00:00:00Z,24.17,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-05T00:00:00Z,23.32,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-06T00:00:00Z,21.07,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-07T00:00:00Z,20.94,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-08T00:00:00Z,22.32,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-11T00:00:00Z,22.6,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-12T00:00:00Z,20.37,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-13T00:00:00Z,21.23,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-14T00:00:00Z,23.19,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-15T00:00:00Z,23.13,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-18T00:00:00Z,24.06,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-19T00:00:00Z,25.01,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-20T00:00:00Z,25.03,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-21T00:00:00Z,24.53,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-22T00:00:00Z,24.13,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-22T00:00:00Z,24.13,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-26T00:00:00Z,25.89,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-27T00:00:00Z,24.85,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-28T00:00:00Z,22.69,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-29T00:00:00Z,22.54,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2023-12-29T00:00:00Z,22.54,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-02T00:00:00Z,21.53,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-03T00:00:00Z,23.42,24.99,24.99,1901,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-04T00:00:00Z,22.76,23.36,23.36,1902,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-05T00:00:00Z,23.93,23.36,23.36,2012,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-08T00:00:00Z,21.44,21.02,21.02,2013,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-09T00:00:00Z,22.52,21.02,21.02,2013,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-10T00:00:00Z,21.85,21.02,21.02,2013,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-11T00:00:00Z,22.46,21.02,21.02,2013,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-12T00:00:00Z,23.18,21.02,21.02,2013,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-12T00:00:00Z,23.18,21.02,21.02,2013,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-16T00:00:00Z,22.81,22.73,22.73,2014,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-17T00:00:00Z,22.58,21.44,21.44,2015,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-18T00:00:00Z,23.72,22.6,22.22,2017,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-19T00:00:00Z,23.03,22.6,22.22,2017,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-22T00:00:00Z,24.51,22.6,22.22,2017,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-23T00:00:00Z,24.14,22.6,22.22,2017,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-24T00:00:00Z,24.79,22.6,22.22,2017,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-25T00:00:00Z,26.82,22.6,22.22,2017,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-26T00:00:00Z,27.48,22.6,22.22,2017,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-29T00:00:00Z,26.43,26.76,26.76,2018,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-30T00:00:00Z,27.29,26.76,26.76,2018,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-01-31T00:00:00Z,25.45,26.76,26.76,2018,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-01T00:00:00Z,23.67,26.76,26.76,2018,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-02T00:00:00Z,22.34,26.76,26.76,2018,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-05T00:00:00Z,22.91,26.76,26.76,2018,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-06T00:00:00Z,23.33,26.76,26.76,2018,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-07T00:00:00Z,23.85,26.76,26.76,2018,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-08T00:00:00Z,25.82,25.65,25.65,2018,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-09T00:00:00Z,26.39,25.65,25.65,2018,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-12T00:00:00Z,26.43,25.65,25.65,2018,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-13T00:00:00Z,26.9,25.65,25.65,2018,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-14T00:00:00Z,25.83,25.94,26.05,2220,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-15T00:00:00Z,26.84,25.37,25.37,3301,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-16T00:00:00Z,27.5,25.37,25.37,3536,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-16T00:00:00Z,27.5,25.37,25.37,3536,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-20T00:00:00Z,26.22,25.37,25.37,3836,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-21T00:00:00Z,26.79,26.22,26.21,3986,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-22T00:00:00Z,27.34,26.22,26.21,4021,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-23T00:00:00Z,25.63,26.22,26.21,4371,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-26T00:00:00Z,26.6,26.22,26.21,4036,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-27T00:00:00Z,27.64,26.22,26.21,4043,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-28T00:00:00Z,27.21,26.22,26.21,2471,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-02-29T00:00:00Z,26.81,26.22,26.21,2374,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-01T00:00:00Z,28.33,26.22,26.21,2374,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-04T00:00:00Z,27.61,26.22,26.21,496,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-05T00:00:00Z,26.82,26.22,26.21,496,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-06T00:00:00Z,27.78,27.63,27.63,461,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-07T00:00:00Z,27.78,27.63,27.63,451,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-08T00:00:00Z,27.03,27.63,27.63,451,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-11T00:00:00Z,27.14,27.63,27.63,451,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-12T00:00:00Z,26.9,27.63,27.63,451,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-13T00:00:00Z,28.84,27.63,27.63,451,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-14T00:00:00Z,30.19,27.63,27.63,451,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-15T00:00:00Z,30.14,27.63,27.63,451,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-18T00:00:00Z,31.61,27.63,27.63,410,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-19T00:00:00Z,32.08,27.63,27.63,410,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-20T00:00:00Z,30.78,27.63,27.63,410,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-21T00:00:00Z,30.64,27.63,27.63,410,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-22T00:00:00Z,30.17,30.14,30.38,187,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-25T00:00:00Z,31.38,30.14,30.38,187,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-26T00:00:00Z,31.04,30.14,30.38,187,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-27T00:00:00Z,30.78,30.14,30.38,187,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-28T00:00:00Z,32.42,30.14,30.38,187,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-03-28T00:00:00Z,32.42,30.14,30.38,187,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-04-01T00:00:00Z,32.82,30.14,30.38,110,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-04-02T00:00:00Z,34.22,30.14,30.38,110,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-04-03T00:00:00Z,34.61,30.14,30.38,110,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-04-04T00:00:00Z,35.81,30.14,30.38,150,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-04-05T00:00:00Z,36.1,30.14,30.38,110,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-04-08T00:00:00Z,35.53,30.14,30.38,110,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-04-09T00:00:00Z,34.46,30.14,30.38,110,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-04-10T00:00:00Z,35.44,30.14,30.38,110,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-04-11T00:00:00Z,34.45,30.14,30.38,110,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-04-12T00:00:00Z,35.08,30.14,30.38,110,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-04-15T00:00:00Z,34.86,30.14,30.38,110,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-04-16T00:00:00Z,34.83,30.14,30.38,110,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-04-17T00:00:00Z,32.15,32.23,32.29,115,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-04-18T00:00:00Z,32.1,32.23,32.29,111,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-04-19T00:00:00Z,32.22,32.23,32.29,111,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-04-22T00:00:00Z,31.9,32.23,32.29,111,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-04-23T00:00:00Z,33.36,32.23,32.29,111,CL500F24^F24,50.0,F24,2024-06-01
CL500F24^F24,2024-04-24T00:00:00Z,32.81,32.23,32.29,111,CL500F24^F24,50.0,F24,2024-06-01
